Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2021,29.91,35.84,81836,Petrol,Individual,Manual,1
2017,13.2,15.89,31549,Petrol,Dealer,Manual,0
2020,12.26,25.96,79554,Petrol,Individual,Manual,0
2013,28.74,37.61,157898,Petrol,Dealer,Manual,1
2018,15.36,23.67,69646,,,Manual,0
2019,27.27,30.47,80142,Petrol,Individual,Manual,2
2007,31.06,39.7,140873,Diesel,Dealer,Manual,0
2014,10.66,11.55,124937,Petrol,Individual,Manual,1
2013,,4.23,110530,Petrol,Individual,Manual,0
2017,11.43,27.06,98347,Petrol,Dealer,Manual,1
2005,3.78,4.04,93358,Diesel,Trustmark Dealer,Automatic,0
2003,17.12,38.56,120343,Diesel,Trustmark Dealer,Manual,0
2022,22.19,36.24,1258,Petrol,Individual,Manual,1
2018,33.48,44.2,138940,Petrol,Individual,Manual,2
2004,28.59,32.34,7817,Petrol,Individual,Automatic,2
2004,2.32,4.29,39512,Diesel,Individual,Manual,0
2005,5.57,13.4,31856,Diesel,,Manual,1
2010,27.87,40.59,144164,Diesel,Dealer,Automatic,1
2017,6.06,9.19,190331,Petrol,Dealer,Manual,0
2009,20.04,35.23,97636,Petrol,Dealer,Automatic,0
2008,34.55,39.23,131571,Petrol,Individual,Automatic,0
2011,13.95,17.18,185166,Petrol,Dealer,Manual,0
2022,14.64,16.79,83157,Petrol,,Manual,1
2003,13.85,28.33,37123,Petrol,Individual,Manual,0
2010,33.73,43.2,190103,Petrol,Individual,Automatic,0
2005,11.21,11.97,89521,Petrol,Individual,Manual,0
2006,34.71,47.12,186930,Petrol,Dealer,Manual,1
2017,15.01,30.36,2158,Petrol,Dealer,Manual,0
2008,47.01,49.61,191545,Diesel,Dealer,Manual,0
2017,3.72,5.39,99898,Diesel,Individual,Manual,1
2023,6.21,7.2,196792,Petrol,Individual,Manual,1
2005,20.01,41.51,19134,Diesel,Individual,Manual,0
2023,33.24,43.37,17786,CNG,Dealer,Manual,3
2023,20.59,22.83,91933,,Individual,Automatic,1
2016,24.93,,185062,,Dealer,Manual,1
2022,24.31,43.51,183764,Diesel,,Manual,1
2016,1.46,3.11,56030,CNG,Individual,Automatic,0
2006,16.39,29.12,11494,Petrol,Dealer,Automatic,0
2014,25.49,42.82,27273,Petrol,Individual,Manual,2
2019,16.21,20.51,95040,Diesel,Dealer,Automatic,0
2009,7.88,15.82,146832,Petrol,Dealer,Manual,1
2011,18.33,39.99,39302,CNG,Individual,Manual,0
2005,10.69,17.45,71822,,Dealer,Manual,0
2015,0.76,1.16,199221,Diesel,Dealer,Manual,0
2017,358.0,48.02,46540,Petrol,Individual,Automatic,1
2020,23.68,,164502,Petrol,,Manual,1
2021,36.6,41.16,39419,CNG,,Manual,0
2003,23.16,41.44,135624,Petrol,Individual,Manual,0
2008,2.94,4.25,60571,Petrol,Individual,Manual,0
2004,5.63,,155694,Diesel,Dealer,Automatic,1
2016,6.51,16.24,49829,Petrol,Individual,Automatic,0
2008,12.01,16.71,137068,Petrol,Individual,Automatic,0
2016,28.24,33.28,35232,Petrol,Dealer,Manual,0
2006,13.24,31.53,63083,Diesel,Dealer,Manual,0
2023,10.14,25.23,55034,,Individual,Automatic,2
2010,9.08,11.35,40379,Diesel,Individual,Manual,0
2005,15.31,19.72,163074,Petrol,Individual,Manual,0
2021,17.23,27.64,36868,Petrol,Dealer,Manual,1
2016,18.28,23.93,27532,Petrol,Individual,Automatic,1
2022,6.69,7.24,37861,Diesel,Dealer,Manual,2
2019,176.1,32.83,153307,,Individual,Automatic,0
2010,,4.58,109532,CNG,Dealer,Manual,0
2016,9.81,19.53,135651,CNG,Individual,Manual,0
2008,28.57,35.79,190016,Petrol,Dealer,Automatic,0
2018,1.18,1.98,26619,Petrol,Individual,Manual,1
2021,27.3,,22829,Diesel,Individual,Manual,2
2016,13.79,17.39,21912,Petrol,Dealer,Manual,1
2021,0.86,1.43,172406,Petrol,Dealer,Manual,0
2005,4.98,10.33,174073,Diesel,Trustmark Dealer,Automatic,1
2012,34.18,47.11,166413,Petrol,Dealer,Manual,0
2021,14.92,,144735,Petrol,Individual,Manual,0
2011,44.78,49.86,23104,Petrol,Dealer,Manual,2
2022,17.17,26.72,174395,Diesel,Individual,Automatic,0
2015,15.51,27.65,180349,Petrol,Dealer,Automatic,0
2009,14.62,20.2,149712,Diesel,Individual,Automatic,1
2016,7.7,16.19,149583,Petrol,Dealer,Manual,1
2011,9.45,13.33,190439,Diesel,Individual,Manual,1
2021,7.68,17.83,99235,Petrol,Dealer,Manual,0
2017,17.27,23.53,176726,CNG,,Manual,0
2022,7.2,10.41,118472,Petrol,Dealer,Manual,2
2016,8.25,12.02,95428,CNG,Dealer,Automatic,0
2008,11.11,14.31,56233,Diesel,Individual,Automatic,0
2023,,23.01,133121,Petrol,Dealer,Manual,0
2006,21.54,32.99,104487,Petrol,Individual,Manual,3
2010,27.67,42.95,68837,Petrol,Individual,Manual,0
2019,9.84,15.07,196832,Diesel,Individual,Manual,1
2011,9.39,10.0,59498,Petrol,Dealer,Automatic,1
2003,9.32,19.56,115717,Petrol,Individual,Manual,1
2022,34.95,44.82,124666,Diesel,Dealer,Manual,0
2016,0.92,1.48,111601,Diesel,Individual,Automatic,0
2013,,34.22,168038,Petrol,Dealer,Automatic,1
2023,19.97,24.38,175777,Petrol,Dealer,Manual,1
2005,4.33,8.89,130147,Petrol,Dealer,Manual,0
2011,13.72,16.73,117052,Petrol,Trustmark Dealer,Automatic,0
2016,5.27,12.02,193562,Petrol,Individual,Manual,0
2011,29.3,44.01,185717,Diesel,Dealer,Automatic,0
2006,19.89,24.61,91641,Petrol,Trustmark Dealer,Manual,0
2006,14.46,28.59,187104,Petrol,Dealer,Manual,0
2010,24.79,30.09,74685,Petrol,Individual,Manual,1
2004,15.9,32.34,147104,CNG,Individual,Manual,0
2011,,25.28,196293,Petrol,Individual,Automatic,0
2016,1.24,1.88,154315,CNG,Dealer,Manual,0
2011,13.51,17.4,46915,Petrol,Individual,Automatic,0
2018,9.05,10.01,109962,Petrol,Individual,Manual,1
2019,21.44,34.33,18379,Diesel,,Manual,0
2018,2.0,3.78,73401,,Dealer,Manual,1
2014,25.11,28.63,80146,Diesel,Individual,Manual,0
2005,5.53,11.32,90416,Diesel,Individual,Manual,0
2013,35.49,47.49,134703,Petrol,Individual,Manual,0
2016,15.83,17.44,130140,Diesel,Dealer,Manual,0
2020,13.06,,99567,Diesel,Dealer,Automatic,1
2023,23.48,46.25,172524,Diesel,Individual,Manual,0
2023,10.38,21.45,62196,Petrol,Individual,Manual,1
2007,25.96,,14830,Petrol,Individual,Manual,0
2018,,2.18,156668,Petrol,,Manual,0
2022,7.81,16.01,44484,CNG,Individual,Automatic,1
2007,,,95756,Petrol,Dealer,Manual,2
2005,26.63,44.65,26772,Petrol,Dealer,Automatic,0
2014,12.41,13.56,6116,Petrol,Individual,Manual,0
2003,40.22,46.59,82839,Diesel,Dealer,Manual,1
2023,27.09,30.11,124085,Petrol,Trustmark Dealer,Automatic,3
2011,22.62,40.25,2636,Petrol,Individual,Automatic,2
2011,14.64,20.46,173662,Diesel,Individual,Manual,0
2006,6.58,11.4,93338,Petrol,Dealer,Manual,1
2005,24.71,45.65,8811,,Individual,Manual,1
2019,34.29,46.72,147295,Petrol,Individual,Manual,1
2004,21.57,25.38,142653,Petrol,Individual,Manual,0
2003,0.6,1.32,21919,Petrol,Dealer,Manual,0
2010,,6.38,84018,Petrol,Individual,Automatic,1
2015,14.91,29.08,181513,Petrol,Individual,Manual,1
2017,1.82,2.17,134676,Diesel,Dealer,Manual,0
2010,18.68,20.45,196727,Petrol,Dealer,Automatic,0
2014,,15.87,130672,Petrol,Individual,Manual,0
2014,,36.0,132279,Petrol,Dealer,Manual,0
2016,3.36,3.72,140535,,Dealer,Manual,0
2017,14.71,24.95,168518,Diesel,Dealer,Automatic,0
2017,23.27,29.38,102772,Petrol,Trustmark Dealer,Manual,1
2011,14.23,31.25,13671,Petrol,Dealer,Automatic,1
2021,13.44,20.85,10476,Diesel,Dealer,Manual,1
2022,10.77,15.91,5986,Diesel,Dealer,Manual,2
2010,28.13,34.44,109158,Diesel,Individual,Manual,0
2023,23.77,42.53,160662,Diesel,,Manual,0
2021,19.08,34.99,147598,Petrol,Individual,Manual,0
2008,26.44,46.67,43001,CNG,Individual,Automatic,0
2022,25.51,36.15,54242,CNG,Individual,Manual,0
2021,33.92,38.47,7803,Petrol,Individual,Automatic,1
2006,7.91,9.23,52446,Diesel,,Manual,0
2009,9.31,21.56,12905,Petrol,Dealer,Manual,0
2006,21.88,,129295,Diesel,Individual,Manual,0
2014,6.13,13.56,3461,Petrol,Dealer,Manual,0
2015,16.91,26.9,59687,Petrol,Individual,Manual,1
2005,12.52,15.25,137745,Petrol,Individual,Manual,0
2014,15.43,34.69,178844,Petrol,Individual,Manual,0
2004,10.15,24.04,129860,Petrol,Individual,Automatic,0
2004,13.65,23.48,76956,Petrol,Individual,Manual,0
2011,39.43,49.2,83863,,Individual,Manual,0
2003,13.9,20.23,30564,Diesel,Individual,Manual,0
2010,11.8,18.75,70692,Petrol,,Manual,1
2008,14.07,16.61,13251,Diesel,Dealer,Manual,0
2008,36.84,44.84,80056,Petrol,Dealer,Manual,2
2020,21.09,25.34,133977,Diesel,Dealer,Manual,1
2019,19.85,30.4,184280,Petrol,Individual,Automatic,0
2014,4.05,9.86,194166,Diesel,Individual,Automatic,0
2008,13.61,27.51,148806,Diesel,Dealer,Manual,0
2010,11.68,14.46,158958,Petrol,Dealer,Manual,0
2021,29.96,36.8,195683,Petrol,Individual,Manual,0
2012,39.06,41.79,168149,,Individual,Manual,0
2003,18.18,36.03,6661,Diesel,Individual,Manual,0
2015,17.2,36.78,4838,Petrol,Individual,Manual,0
2019,12.44,26.11,43073,Petrol,Individual,Automatic,1
2005,18.0,35.89,142450,Diesel,Dealer,Manual,0
2010,14.99,21.71,140130,CNG,Dealer,Manual,1
2016,30.83,32.92,199597,Petrol,Trustmark Dealer,Manual,1
2005,9.91,13.69,76113,CNG,Dealer,Manual,2
2018,3.04,,90806,Petrol,Dealer,Manual,1
2015,16.38,21.26,34884,CNG,Dealer,Automatic,0
2022,10.41,23.63,124013,Diesel,Individual,Manual,0
2019,11.5,13.56,160599,Petrol,Dealer,Manual,0
2015,27.71,36.66,174259,Petrol,Individual,Manual,0
2008,2.27,4.6,170807,Diesel,Trustmark Dealer,Manual,0
2019,8.9,11.91,148053,Petrol,Individual,Manual,0
2016,27.43,37.68,126989,CNG,Dealer,Manual,1
2019,9.77,22.42,63457,Diesel,Trustmark Dealer,Manual,0
2010,194.4,35.56,159152,Petrol,Individual,Manual,0
2013,17.72,28.81,12797,CNG,Dealer,Automatic,0
2022,25.44,47.58,58056,Petrol,Dealer,Manual,0
2003,16.17,30.29,27457,Diesel,Individual,Automatic,1
2009,1.24,1.73,152989,Diesel,Individual,Automatic,2
2023,12.05,18.29,9871,CNG,Dealer,Automatic,0
2023,6.14,,151125,Petrol,Individual,Manual,0
2019,42.88,46.31,198799,Petrol,Trustmark Dealer,Automatic,0
2012,4.66,6.1,84050,Petrol,Dealer,Manual,0
2013,14.4,20.0,191487,Petrol,Dealer,Manual,0
2011,10.46,12.08,787960,Petrol,Trustmark Dealer,Automatic,1
2011,31.77,42.49,76058,Diesel,Dealer,Manual,0
2007,7.92,16.12,6030,Petrol,Trustmark Dealer,Manual,0
2019,28.43,49.6,2381,Petrol,Individual,Manual,1
2011,2.32,2.89,148825,Petrol,Dealer,Manual,0
2019,5.88,7.29,137164,Petrol,Dealer,Automatic,3
2023,11.32,12.01,53946,Diesel,Dealer,Manual,2
2021,30.34,40.74,88620,Petrol,Dealer,Manual,1
2009,39.41,44.05,81093,Petrol,Individual,Automatic,0
2011,1.94,4.5,126370,Petrol,Individual,Automatic,0
2009,1.84,2.59,190592,,Individual,Automatic,0
2015,33.95,37.48,140639,Petrol,Individual,Manual,0
2013,4.2,7.53,159938,Diesel,Individual,Manual,0
2016,3.65,7.52,166783,Diesel,Trustmark Dealer,Manual,0
2021,1.24,2.1,116645,Petrol,Individual,Manual,1
2013,2.87,,180815,Petrol,Trustmark Dealer,Manual,0
2015,6.22,13.92,26386,,Dealer,Manual,1
2016,3.06,4.19,24013,Petrol,Individual,Manual,0
2015,9.06,19.08,7885,Petrol,Individual,Manual,2
2003,,41.81,107905,Petrol,Trustmark Dealer,Manual,1
2010,,16.99,164893,Diesel,Individual,Manual,0
2014,18.6,36.66,146117,CNG,Dealer,Automatic,1
2021,2.34,5.6,19780,Petrol,Dealer,Manual,1
2014,21.15,33.31,157622,Petrol,Dealer,Manual,2
2010,118.6,16.52,90771,Diesel,,Manual,1
2010,21.27,37.74,79377,CNG,Individual,Manual,0
2023,5.36,7.68,49284,,Individual,Manual,0
2015,41.6,45.0,61238,Diesel,Dealer,Manual,1
2014,,12.89,48184,Diesel,Dealer,Automatic,2
2018,10.43,18.3,192695,Petrol,Individual,Manual,2
2003,31.65,47.56,153377,Petrol,Dealer,Manual,0
2015,20.06,29.35,41021,Petrol,,Automatic,1
2009,7.58,18.92,129446,Petrol,Dealer,Automatic,0
2007,35.11,47.53,44184,Diesel,Individual,Manual,0
2010,16.24,17.12,19942,Diesel,Dealer,Manual,0
2016,3.17,5.65,156786,Diesel,Trustmark Dealer,Automatic,1
2015,37.24,49.85,52672,Diesel,Individual,Automatic,0
2017,5.68,14.12,113437,,Individual,Automatic,0
2019,31.28,42.71,87557,Diesel,Dealer,Manual,1
2017,5.88,9.11,44201,Petrol,Trustmark Dealer,Manual,0
2022,25.48,36.84,64296,Diesel,Trustmark Dealer,Manual,0
2020,18.67,26.7,185051,Petrol,Individual,Manual,0
2020,24.4,49.06,89549,Petrol,Individual,Manual,0
2004,23.13,28.09,84257,,Trustmark Dealer,Manual,0
2006,1.57,2.23,78817,Petrol,Individual,Automatic,1
2003,,30.59,15008,Petrol,Dealer,Manual,1
2006,7.43,8.12,61196,Petrol,Individual,Manual,0
2020,16.33,40.13,3294,Petrol,Individual,Automatic,0
2007,34.34,42.97,20061,Diesel,Trustmark Dealer,Manual,0
2021,15.01,24.62,56733,Diesel,Individual,Manual,0
2017,27.07,39.38,99376,CNG,Dealer,Manual,0
2010,4.54,8.11,172076,Diesel,Individual,Automatic,0
2022,,25.11,81625,Petrol,Individual,Manual,1
2019,8.29,20.3,123007,Diesel,Dealer,Manual,0
2003,24.8,30.95,126758,Petrol,Individual,Automatic,1
2014,2.52,3.18,183365,Petrol,Dealer,Manual,0
2021,28.76,37.85,185754,Diesel,Individual,Manual,0
2017,4.31,4.88,125686,Petrol,Trustmark Dealer,Manual,2
2011,29.71,33.17,11237,Petrol,Individual,Automatic,0
2009,1.34,1.9,12694,Diesel,Individual,Manual,1
2004,32.43,41.76,87472,Diesel,Dealer,Manual,0
2011,3.88,9.56,142540,Diesel,Individual,Manual,2
2012,22.73,26.26,150533,Petrol,Individual,Manual,0
2004,11.73,13.81,75062,Diesel,Individual,Automatic,1
2021,14.97,36.41,120443,Diesel,Individual,Manual,0
2013,11.7,16.75,79000,Diesel,Individual,Manual,0
2015,32.81,36.51,77599,Diesel,Trustmark Dealer,Automatic,1
2012,7.48,14.96,14064,Petrol,,Automatic,1
2016,22.49,37.87,145661,Petrol,Dealer,Manual,1
2020,1.46,2.5,185396,Diesel,Individual,Manual,0
2021,8.87,14.88,133004,Diesel,Trustmark Dealer,Manual,1
2011,10.76,25.43,149091,Petrol,Trustmark Dealer,Automatic,0
2009,1.78,3.21,56835,Diesel,Dealer,Automatic,0
2005,5.69,10.12,154229,Petrol,Individual,Manual,0
2022,41.0,46.79,53381,Petrol,Individual,Automatic,0
2008,29.01,48.86,18574,Petrol,Dealer,Manual,1
2023,24.06,37.25,180384,,Individual,Automatic,2
2004,8.14,13.36,33779,Petrol,Trustmark Dealer,Manual,0
2008,6.42,13.77,111498,Diesel,Individual,Manual,0
2005,30.83,32.64,162960,Petrol,Dealer,Automatic,0
2018,5.77,6.76,112422,Petrol,Individual,Manual,0
2010,33.11,,27025,CNG,Individual,Manual,0
2004,7.96,12.02,140132,Petrol,Dealer,Automatic,1
2019,,49.98,165288,Diesel,Dealer,Manual,2
2011,14.66,25.29,74197,CNG,Dealer,Automatic,0
2014,16.59,38.8,101800,Petrol,Individual,Manual,2
2005,0.69,1.11,65617,Diesel,Dealer,Automatic,2
2013,41.93,44.55,132498,CNG,,Manual,0
2003,7.12,14.23,26491,Diesel,Trustmark Dealer,Manual,0
2015,23.28,33.73,20553,Petrol,Trustmark Dealer,Manual,0
2017,16.39,,144990,Petrol,Dealer,Automatic,0
2007,4.22,9.04,13513,Petrol,Dealer,Manual,0
2023,,22.68,148902,Diesel,Individual,Manual,1
2019,14.2,25.2,191326,Diesel,Dealer,Manual,1
2008,14.63,16.29,176767,Diesel,Dealer,Manual,2
2023,15.34,24.61,162243,Petrol,Dealer,Automatic,1
2013,8.52,16.56,134322,Petrol,Trustmark Dealer,Manual,2
2020,13.08,18.68,57263,Petrol,Trustmark Dealer,Manual,0
2006,28.3,33.8,63114,Petrol,Individual,Manual,0
2005,13.14,32.0,3681,Diesel,Individual,Automatic,0
2015,8.39,12.38,195575,Petrol,Individual,Automatic,0
2011,37.13,44.98,84321,Petrol,Individual,Manual,1
2023,19.78,,135479,Diesel,Individual,Manual,0
2008,23.27,25.95,40529,Petrol,Individual,Manual,0
2014,12.13,22.23,49901,CNG,Individual,Manual,2
2004,9.61,19.47,18427,,Dealer,Automatic,3
2005,25.82,35.66,130463,CNG,Dealer,Manual,0
2005,16.83,33.91,22747,Petrol,Trustmark Dealer,Automatic,0
2014,,10.61,14555,Petrol,Dealer,Manual,0
2017,22.7,33.9,94130,Diesel,Dealer,Manual,0
2011,6.16,13.37,197999,Diesel,Individual,Manual,1
2010,1.72,1.91,24263,Petrol,Dealer,Manual,1
2013,27.16,35.26,137199,Diesel,Dealer,Manual,0
2018,,32.59,105893,CNG,Dealer,Manual,0
2006,12.8,21.13,62453,Petrol,Individual,Automatic,0
2003,12.69,26.76,109930,Diesel,Dealer,Automatic,3
2009,37.41,,59389,Petrol,Individual,Manual,0
2004,25.56,30.16,144584,Petrol,Dealer,Manual,2
2007,15.6,33.24,64722,Petrol,Dealer,Automatic,0
2009,2.78,4.13,136109,Petrol,Individual,Automatic,0
2006,6.09,9.13,94159,Petrol,Individual,Manual,0
2007,9.33,15.75,138926,Petrol,Individual,Automatic,2
2003,22.88,27.43,157805,Petrol,Dealer,Manual,0
2003,17.76,,35311,Diesel,Dealer,Manual,1
2017,8.58,16.74,18175,Diesel,Individual,Manual,0
2022,7.4,18.46,56195,Petrol,Dealer,Automatic,0
2021,8.2,13.55,29090,Petrol,Individual,Manual,0
2012,7.55,13.48,195551,CNG,Individual,Manual,1
2020,41.64,47.49,46636,Petrol,,Automatic,2
2005,26.04,32.14,170938,Petrol,Individual,Automatic,0
2013,3.86,8.64,99248,Petrol,Individual,Manual,0
2017,29.39,36.39,106752,Diesel,,Manual,1
2013,28.07,36.38,186006,Petrol,Individual,Automatic,0
2019,18.68,33.66,74334,Petrol,Individual,Manual,0
2019,3.1,7.6,111956,Diesel,Dealer,Manual,0
2008,,20.99,54111,Petrol,Dealer,Manual,1
2007,3.35,6.23,87284,Petrol,Dealer,Automatic,1
2010,34.82,41.01,2716,CNG,Individual,Automatic,0
2004,21.71,33.1,37404,Petrol,Dealer,Manual,0
2018,23.4,25.85,176396,Diesel,Trustmark Dealer,Manual,0
2022,14.85,17.81,74406,Petrol,Individual,Automatic,0
2014,5.6,10.03,188585,Petrol,Trustmark Dealer,Manual,0
2008,5.38,6.22,80218,Petrol,Individual,Manual,0
2003,22.51,48.49,154127,Diesel,Dealer,Manual,2
2006,4.53,10.78,177205,Petrol,Dealer,Automatic,2
2019,2.89,3.93,72262,Petrol,Individual,Manual,0
2015,28.29,48.12,8557,CNG,Individual,Manual,1
2020,16.22,27.9,98304,Diesel,Dealer,Manual,1
2007,31.15,40.04,129301,Petrol,Trustmark Dealer,Manual,0
2005,2.72,3.14,36486,,Individual,Manual,0
2013,16.61,28.78,52557,Petrol,Dealer,Manual,0
2015,11.87,20.51,41655,Petrol,Individual,Manual,1
2006,26.93,38.83,194470,CNG,Individual,Manual,0
2016,2.19,2.88,127045,CNG,Dealer,Manual,1
2013,10.58,20.68,90638,Petrol,Dealer,Manual,2
2012,36.21,40.15,64823,Petrol,Dealer,Manual,0
2021,20.22,26.61,114827,CNG,Individual,Manual,3
2020,20.79,27.95,107836,,Individual,Automatic,1
2008,,5.76,85801,Petrol,Individual,Automatic,0
2017,6.72,7.48,24094,Petrol,Individual,Manual,2
2023,16.22,34.17,130095,Petrol,Dealer,Manual,0
2012,16.35,34.08,145425,CNG,Individual,Manual,3
2007,401.2,48.98,62850,Petrol,Trustmark Dealer,Manual,0
2007,332.40000000000003,,178025,Diesel,Individual,Manual,3
2012,19.29,25.17,165483,Petrol,Trustmark Dealer,Manual,0
2007,26.93,43.01,115708,CNG,Individual,Manual,0
2005,4.75,6.12,12264,Petrol,Dealer,Automatic,0
2008,,23.02,165517,Petrol,Individual,Automatic,0
2006,14.3,15.07,148003,Petrol,Dealer,Automatic,1
2020,3.91,6.13,43059,Petrol,Individual,Automatic,0
2011,35.05,38.41,3650,Petrol,Individual,Manual,1
2019,16.58,26.03,44024,Diesel,Individual,Automatic,1
2015,25.75,28.28,143664,Petrol,Dealer,Manual,1
2017,,21.15,57238,Petrol,Individual,Manual,1
2022,19.28,23.56,175903,Petrol,Trustmark Dealer,Manual,0
2019,6.17,6.68,175462,Petrol,Dealer,Manual,0
2015,25.66,33.97,72220,Petrol,Individual,Manual,0
2018,17.15,22.19,3678220,Petrol,Dealer,Manual,0
2006,18.73,41.02,145529,Petrol,Dealer,Automatic,0
2007,7.02,10.62,117104,Petrol,Trustmark Dealer,Automatic,3
2007,9.81,11.05,8074,Petrol,Dealer,Automatic,0
2011,173.79999999999998,32.64,184725,Petrol,Individual,Automatic,0
2019,35.39,42.45,58344,Petrol,,Automatic,1
2015,18.63,24.14,117776,Diesel,Dealer,Manual,2
2004,19.14,36.62,184880,Petrol,Individual,Manual,3
2015,27.76,49.97,185991,Petrol,Dealer,Manual,1
2023,31.45,49.52,33979,Diesel,Dealer,Manual,0
2021,17.57,37.47,178484,Petrol,Trustmark Dealer,Automatic,0
2005,33.6,37.24,70258,Petrol,,Manual,0
2012,10.59,13.13,143781,Petrol,Individual,Manual,0
2004,25.13,41.84,43925,Diesel,Dealer,Manual,0
2015,11.78,20.85,148759,Diesel,Individual,Manual,2
2021,37.51,48.14,66066,Diesel,Individual,Automatic,0
2019,3.16,4.99,37540,Diesel,Dealer,Manual,0
2023,11.76,22.36,19165,Diesel,Dealer,Automatic,1
2016,17.98,28.24,178961,Diesel,Individual,Automatic,0
2014,18.33,20.85,63055,Petrol,Individual,Manual,0
2023,4.96,11.32,161266,Petrol,Dealer,Automatic,2
2014,18.11,30.06,173839,CNG,Dealer,Automatic,1
2013,35.35,38.04,187963,CNG,Individual,Manual,0
2009,13.31,32.6,188497,Petrol,Individual,Automatic,0
2006,11.11,12.49,143454,Petrol,Dealer,Manual,1
2021,22.34,36.85,95154,Diesel,Individual,Automatic,0
2003,6.85,13.59,87123,Petrol,Individual,Manual,1
2005,3.91,9.58,67889,Petrol,Dealer,Automatic,1
2015,15.29,34.84,74907,Diesel,Individual,Manual,1
2017,20.92,42.3,75608,Petrol,Dealer,Automatic,2
2004,10.18,24.6,119690,Petrol,Individual,Manual,1
2013,15.81,27.04,20184,Diesel,Dealer,Manual,0
2006,6.72,15.83,7902,Petrol,Dealer,Automatic,2
2021,19.71,25.24,21647,CNG,Individual,Manual,0
2019,6.35,7.47,181446,CNG,Individual,Automatic,2
2005,42.49,47.84,30140,Diesel,Dealer,Manual,1
2020,28.24,40.22,193789,CNG,Dealer,Automatic,0
2010,31.05,33.73,101541,Petrol,Trustmark Dealer,Automatic,1
2021,11.03,27.37,52730,Petrol,Dealer,Manual,0
2007,18.86,39.82,129996,Diesel,Individual,Automatic,3
2009,14.17,25.24,35546,Petrol,Dealer,Manual,0
2023,13.09,15.7,149076,Petrol,,Automatic,0
2010,7.86,8.86,181145,Diesel,Dealer,Manual,0
2007,24.22,32.73,59557,Diesel,Dealer,Manual,0
2019,28.43,46.54,54206,Diesel,Individual,Automatic,0
2007,6.54,8.53,144577,Diesel,Dealer,Manual,0
2006,4.91,,57618,Diesel,Individual,Manual,0
2021,14.5,,38031,Diesel,Dealer,Automatic,0
2023,27.53,40.54,175859,Petrol,Dealer,Manual,1
2004,7.05,15.4,146649,Petrol,Individual,Manual,0
2013,5.63,13.44,194697,Diesel,Dealer,Manual,0
2015,25.5,31.38,140115,Petrol,Dealer,Manual,0
2017,18.91,27.25,166202,CNG,Dealer,Manual,1
2014,2.3,3.95,93950,Diesel,Dealer,Manual,1
2023,3.2,4.99,60846,Diesel,Dealer,Manual,1
2013,30.13,32.51,131182,CNG,,Automatic,0
2009,14.55,23.79,52392,Diesel,Dealer,Manual,1
2007,22.2,48.58,55673,Petrol,Individual,Manual,0
2019,22.43,34.25,138816,Petrol,Dealer,Manual,0
2022,1.13,1.49,51390,Petrol,Individual,Manual,0
2011,9.99,24.57,40260,Petrol,Individual,Manual,0
2016,12.42,21.31,54760,Petrol,Dealer,Automatic,0
2014,3.84,6.23,106806,Diesel,Dealer,Manual,1
2008,30.29,46.24,4470,Petrol,Dealer,Manual,2
2019,22.89,40.45,163715,Petrol,Individual,Manual,0
2021,9.41,12.27,94347,Petrol,Individual,Manual,0
2021,12.45,13.54,5201,Petrol,Individual,Automatic,0
2018,,2.57,81863,Petrol,Individual,Manual,0
2014,11.89,15.54,28340,Petrol,Dealer,Manual,2
2014,20.13,29.65,94716,Diesel,,Manual,3
2022,18.47,21.62,145560,Petrol,Dealer,Automatic,0
2008,41.69,48.49,96910,Petrol,Trustmark Dealer,Manual,0
2006,3.21,3.75,137485,Petrol,Dealer,Manual,1
2008,14.59,29.98,824000,Diesel,Dealer,Manual,0
2013,,43.06,192251,Diesel,Individual,Automatic,0
2003,23.1,24.56,23355,CNG,Individual,Manual,1
2017,1.07,1.15,14831,Diesel,Individual,Manual,2
2013,9.16,,90357,Petrol,Individual,Automatic,1
2021,159.5,16.86,119589,Petrol,Individual,Manual,0
2020,39.81,48.33,129211,Petrol,Trustmark Dealer,Automatic,0
2019,31.27,45.68,196382,Diesel,Individual,Manual,3
2021,29.18,47.51,37396,Petrol,Dealer,Manual,0
2023,30.1,41.46,194428,,Individual,Automatic,0
2016,12.46,18.23,51920,Petrol,Trustmark Dealer,Manual,0
2020,42.97,45.39,170192,Petrol,Individual,Automatic,0
2021,32.88,49.1,48786,,Trustmark Dealer,Automatic,0
2017,15.6,18.15,131046,Diesel,Dealer,Manual,0
2017,11.67,13.77,149997,Petrol,Trustmark Dealer,Manual,2
2006,12.21,27.8,47006,Diesel,Dealer,Manual,0
2009,4.55,10.17,68627,Petrol,Dealer,Manual,1
2015,1.98,2.6,11842,,Individual,Manual,2
2005,25.69,47.35,76459,Petrol,Individual,Automatic,3
2018,35.31,,114272,Petrol,Dealer,Manual,1
2011,4.3,8.97,156198,Petrol,Trustmark Dealer,Manual,0
2010,12.97,20.98,59074,Petrol,Trustmark Dealer,Manual,0
2022,19.04,41.72,169889,Petrol,Individual,Manual,1
2015,18.54,33.39,6557,Diesel,Dealer,Automatic,3
2019,9.12,20.34,5432,Petrol,Dealer,Manual,0
2019,34.98,37.46,144078,Petrol,Individual,Manual,1
2019,27.75,44.96,162061,Diesel,Individual,Automatic,0
2003,41.54,46.38,190115,Diesel,Dealer,Manual,0
